COD_ACQ;ACQUEDOTTO;COMUNE;SIGLA_PROV;CAP;DISTRETTO;COD_PROD;PRODUTTORE;LUOGO_PREL;ETICHETTA;NOTE;miovalore                                                                                                     ;miovalore;miovalore
ACQ027;ACQUEDOTTO DI MONTECATINI VAL DI CECINA;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC24;FONT PIAZZA REPUBBLICA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ027.pdf;OK;10                         ;20;20
ACQ028;ACQUEDOTTO DI QUERCETO;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC29;FONT QUERCETO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ028.pdf;OK;15                                                          ;10;10
ACQ029;ACQUEDOTTO DE LA SASSA;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC28;FONT LAVATOIO LA SASSA;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ029.pdf;OK;10                                                 ;19;17
ACQ030;ACQUEDOTTO DI MONTESCUDAIO-MEZZAVIA;MONTESCUDAIO;PI;56040;BVC;MS07;VIA ROMA P.ZZA MATTEOTTI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ030.pdf;OK;13                                        ;17;13
ACQ031;ACQUEDOTTO DI MONTEVERDI MARITTIMO;MONTEVERDI MARITTIMO;PI;56040;VDC;MV06;PIAZZA DELLA CHIESA (MONTEVERDI);VC;http://www.datiopen.it/asa_qualita_acque/ACQ031.pdf;Il punto di prelievo ̬ fuori;18      ;15;20
ACQ032;ACQUEDOTTO DI ORCIANO PISANO;ORCIANO PISANO;PI;56040;NORD;OR05;VIA DELLE FORNACI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ032.pdf;OK;18                                                   ;11;15
ACQ033;ACQUEDOTTO DI PIOMBINO;PIOMBINO;LI;57025;VDC;PB31;P.ZZA DANTE;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ033.pdf;OK;16                                                                      ;13;14
ACQ038;ACQUEDOTTO DI LIBBIANO;POMARANCE;PI;56045;AVC;PM56;FONT. LIBBIANO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ038.pdf;OK;14                                                                         ;11;19
ACQ039;ACQUEDOTTO DI MICCIANO;POMARANCE;PI;56045;AVC;PM55;FONT. MICIANO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ039.pdf;OK;19                                                                          ;17;18
ACQ040;ACQUEDOTTO DI MONTECERBOLI;POMARANCE;PI;56045;AVC;PM59;FONT. MONTECERBOLI - ARISTEO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ040.pdf;OK;15                                                ;12;14
